CHAPTER,TITLE,NOTE,SUBHEADING NOTE,SUPPLEMENTARY NOTE,STATISTICAL NOTE,SECTION
30,Pharmaceutical products,"1. This Chapter does not cover:

(a) Foods or beverages (such as dietetic, diabetic or fortified foods, food supplements, tonic beverages and mineral waters), other than nutritional preparations for intravenous administration (Section IV);
(b) Preparations, such as tablets, chewing gum or patches (transdermal systems), intended to assist smokers to stop smoking (heading 21.06 or 38.24);
(c) Plasters specially calcined or finely ground for use in dentistry (heading 25.20);
(d) Aqueous distillates or aqueous solutions of essential oils, suitable for medicinal uses (heading 33.01);
(e) Preparations of headings 33.03 to 33.07, even if they have therapeutic or prophylactic properties;
(f) Soap or other products of heading 34.01 containing added medicaments;
(g) Preparations with a basis of plaster for use in dentistry (heading 34.07); or
(h) Blood albumin not prepared for therapeutic or prophylactic uses (heading 35.02).

2. For the purposes of heading 30.02, the expression “immunological products” applies to peptides and proteins (other than goods of heading 29.37) which are directly involved in the regulation of immunological processes, such as monoclonal antibodies (MAB), antibody fragments, antibody conjugates and antibody garment conjugates, interleukins, interferons (IFN), chemokines and certain tumor necrosis factors (TNF), growth factors (GF), hematopoietins and colony stimulating factors (CSF).

3. For the purpose of headings 30.03 and 30.04 and of Note 4 (d) to this Chapter, the following are to be treated:

(a) As unmixed products:
(1) Unmixed products dissolved in water;
(2) All goods of Chapter 28 or 29; and
(3) Simple vegetable extracts of heading 13.02, merely standardised or dissolved in any solvent;
(b) As products which have been mixed:
(1) Colloidal solutions and suspensions (other than colloidal sulphur);
(2) Vegetable extracts obtained by the treatment of mixtures of vegetable materials; and
(3) Salts and concentrates obtained by evaporating natural mineral waters.

4. Heading 30.06 applies only to the following, which are to be classified in that heading and in no other heading of the Nomenclature:

(a) Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure;
(b) Sterile laminaria and sterile laminaria tents;
(c) Sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable;
(d) Opacifying preparations for X-ray examinations and diagnostic reagents designed to be administered to the patient, being unmixed products put up in measured doses or products consisting of two or more ingredients which have been mixed together for such uses;
(e) Blood-grouping reagents;
(f) Dental cements and other dental fillings; bone reconstruction cements;
(g) First-aid boxes and kits;
(h) Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides;
(ij) Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments;
(k) Waste pharmaceuticals, that is, pharmaceutical products which are unfit for their original intended purpose due to, for example, expiry of shelf life; and
(l) Appliances identifiable for ostomy use, that is, colostomy, ileostomy and urostomy pouches cut to shape and their adhesive wafers or faceplates.
","1. For the purposes of subheadings 3002.13 and 3002.14, the following are to be treated:

(a) As unmixed products, pure products, whether or not containing impurities;
(b) As products which have been mixed:
(1) The products mentioned in (a) above dissolved in water or in other solvents;
(2) The products mentioned in (a) and (b) (1) above with an added stabiliser necessary for their preservation or transport; and
(3) The products mentioned in (a), (b) (1) and (b) (2) above with any other additive.
2. Subheadings 3003.60 and 3004.60 cover medicaments containing artemisinin (INN) for oral ingestion combined with other pharmaceutical active ingredients, or containing any of the following active principles, whether or not combined with other pharmaceutical active ingredients : amodiaquine (INN); artelinic acid or its salts; artenimol (INN); artemotil (INN); artemether (INN); artesunate (INN); chloroquine (INN); dihydroartemisinin (INN); lumefantrine (INN); mefloquine (INN); piperaquine (INN); pyrimethamine (INN) or sulfadoxine (INN).",,,6
31,Fertilizers,"1. This Chapter does not cover:

(a) Animal blood of heading 05.11;
(b) Separate chemically defined compounds (other than those answering to the descriptions in Note 2 (a), 3 (a), 4 (a) or 5 below); or
(c) Cultured potassium chloride crystals (other than optical elements) weighing not less than 2.5 g each, of heading 38.24; optical elements of potassium chloride (heading 90.01).

2. Heading 31.02 applies only to the following goods, provided that they are not put up in the forms or packages described in heading 31.05:

(a) Goods which answer to one or other of the descriptions given below:
(i) Sodium nitrate, whether or not pure;
(ii) Ammonium nitrate, whether or not pure;
(iii) Double salts, whether or not pure, of ammonium sulphate and ammonium nitrate;
(iv) Ammonium sulphate, whether or not pure;
(v) Double salts (whether or not pure) or mixtures of calcium nitrate and ammonium nitrate;
(vi) Double salts (whether or not pure) or mixtures of calcium nitrate and magnesium nitrate;
(vii) Calcium cyanamide, whether or not pure or treated with oil;
(viii) Urea, whether or not pure.
(b)Fertilizers consisting of any of the goods described in (a) above mixed together.
(c) Fertilizers consisting of ammonium chloride or of any of the goods described in (a) or (b) above mixed with chalk, gypsum or other inorganic non-fertilising substances.
(d)Liquid fertilizers consisting of the goods of subparagraph (a) (ii) or (viii) above, or of mixtures of those goods, in an aqueous or ammoniacal solution.

3. Heading 31.03 applies only to the following goods, provided that they are not put up in the forms or packages described in heading 31.05:

(a) Goods which answer to one or other of the descriptions given below:
(i) Basic slag;
(ii) Natural phosphates of heading 25.10, calcined or further heat-treated than for the removal of impurities;
(iii) Superphosphates (single, double or triple);
(iv) Calcium hydrogenorthophosphate containing not less than 0.2% by weight of fluorine calculated on the dry anhydrous product.
(b) Fertilizers consisting of any of the goods described in (a) above mixed together, but with no account being taken of the fluorine content limit.
(c) Fertilizers consisting of any of the goods described in (a) or (b) above, but with no account being taken of the fluorine content limit, mixed with chalk, gypsum or other inorganic non-fertilising substances.

4. Heading 31.04 applies only to the following goods, provided that they are not put up in the forms or packages described in heading 31.05:

(a) Goods which answer to one or other of the descriptions given below:
(i) Crude natural potassium salts (for example, carnallite, kainite and sylvite);
(ii) Potassium chloride, whether or not pure, except as provided in Note 1 (c) above;
(iii) Potassium sulphate, whether or not pure;
(iv) Magnesium potassium sulphate, whether or not pure.
(b) Fertilizers consisting of any of the goods described in (a) above mixed together.

5. Ammonium dihydrogenorthophosphate (monoammonium phosphate) and diammonium hydrogenorthophosphate (diammonium phosphate), whether or not pure, and intermixtures thereof, are to be classified in heading 31.05.

6. For the purpose of heading 31.05, the term ""other fertilizers"" applies only to products of a kind used as fertilizers and containing, as an essential constituent, at least one of the fertilizing elements nitrogen, phosphorus or potassium.",,,,6
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks","1. This Chapter does not cover:

(a) Separate chemically defined elements or compounds (except those of heading 32.03 or 32.04, inorganic products of a kind used as luminophores (heading 32.06), glass obtained from fused quartz or other fused silica in the forms provided for in heading 32.07, and also dyes and other colouring matter put up in forms or packings for retail sale, of heading 32.12);
(b) Tannates or other tannin derivatives of products of headings 29.36 to 29.39, 29.41 or 35.01 to 35.04; or
(c) Mastics of asphalt or other bituminous mastics (heading 27.15).

2. Heading 32.04 includes mixtures of stabilised diazonium salts and couplers for the production of azo dyes.

3. Headings 32.03, 32.04, 32.05 and 32.06 apply also to preparations based on colouring matter (including, in the case of heading 32.06, colouring pigments of heading 25.30 or Chapter 28, metal flakes and metal powders), of a kind used for colouring any material or used as ingredients in the manufacture of colouring preparations. The headings do not apply, however, to pigments dispersed in non-aqueous media, in liquid or paste form, of a kind used in the manufacture of paints, including enamels (heading 32.12), or to other preparations of heading 32.07, 32.08, 32.09, 32.10, 32.12, 32.13 or 32.15.

4. Heading 32.08 includes solutions (other than collodions) consisting of any of the products specified in headings 39.01 to 39.13 in volatile organic solvents when the weight of the solvent exceeds 50% of the weight of the solution.

5. The expression ""colouring matter"" in this Chapter does not include products of a kind used as extenders in oil paints, whether or not they are also suitable for colouring distempers.

6. The expression ""stamping foils"" in heading 32.12 applies only to thin sheets of a kind used for printing, for example, book covers or hat bands, and consisting of:

(a) Metallic powder (including powder of precious metal) or pigment, agglomerated with glue, gelatin or other binder; or
(b) Metal (including precious metal) or pigment, deposited on a supporting sheet of any material.",,,,6
33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations","1. This Chapter does not cover:

(a) Natural oleoresins or vegetable extracts of heading 13.01 or 13.02;
(b) Soap or other products of heading 34.01; or
(c) Gum, wood or sulphate turpentine or other products of heading 38.05.

2. The expression ""odoriferous substances"" in heading 33.02 refers only to the substances of heading 33.01, to odoriferous constituents isolated from those substances or to synthetic aromatics.

3. Headings 33.03 to 33.07 apply, inter alia, to products, whether or not mixed (other than aqueous distillates and aqueous solutions of essential oils), suitable for use as goods of these headings and put up in packings of a kind sold by retail for such use.

4. The expression ""perfumery, cosmetic or toilet preparations"" in heading 33.07 applies, inter alia, to the following products: scented sachets; odoriferous preparations which operate by burning; perfumed papers and papers impregnated or coated with cosmetics; contact lens or artificial eye solutions; wadding, felt and nonwovens, impregnated, coated or covered with perfume or cosmetics; animal toilet preparations.",,,,6
34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster","1. This Chapter does not cover:

(a) Edible mixtures or preparations of animal or vegetable fats or oils of a kind used as mould release preparations (heading 15.17);
(b) Separate chemically defined compounds; or
(c) Shampoos, dentifrices, shaving creams and foams, or bath preparations, containing soap or other organic surface-active agents (heading 33.05, 33.06 or 33.07).

2. For the purpose of heading 34.01, the expression ""soap"" applies only to soap soluble in water. Soap and the other products of heading 34.01 may contain added substances (for example, disinfectants, abrasive powders, fillers or medicaments). Products containing abrasive powders remain classified in heading 34.01 only if in the form of bars, cakes or moulded pieces or shapes. In other forms they are to be classified in heading 34.05 as ""scouring powders and similar preparations"".

3. For the purpose of heading 34.02, ""organic surface-active agents"" are products which when mixed with water at a concentration of 0.5% at 20°C and left to stand for one hour at the same temperature:

(a) give a transparent or translucent liquid or stable emulsion without separation of insoluble matter; and
(b) reduce the surface tension of water to 4.5 x 10-2 N/m (45 dyne/cm) or less.

4. In heading 34.03 the expression ""petroleum oils and oils obtained from bituminous minerals"" applies to the products defined in Note 2 to Chapter 27.

5. In heading 34.04, subject to the exclusions provided below, the expression ""artificial waxes and prepared waxes"" applies only to:

(a) Chemically produced organic products of a waxy character, whether or not water-soluble;
(b) Products obtained by mixing different waxes;
(c) Products of a waxy character with a basis of one or more waxes and containing fats, resins, mineral substances or other materials.

The heading does not apply to:

(a) Products of heading 15.16, 34.02 or 38.23, even if having a waxy character;
(b) Unmixed animal waxes or unmixed vegetable waxes, whether or not refined or coloured, of heading 15.21;
(c) Mineral waxes or similar products of heading 27.12, whether or not intermixed or merely coloured; or
(d) Waxes mixed with, dispersed in or dissolved in a liquid medium (headings 34.05, 38.09, etc.).",,,,6
35,Albuminoidal substances; modified starches; glues; enzymes,"1. This Chapter does not cover:

(a) Yeasts (heading 21.02);
(b) Blood fractions (other than blood albumin not prepared for therapeutic or prophylactic uses), medicaments or other products of Chapter 30;
(c) Enzymatic preparations for pre-tanning (heading 32.02);
(d) Enzymatic soaking or washing preparations or other products of Chapter 34;
(e) Hardened proteins (heading 39.13); or
(f) Gelatin products of the printing industry (Chapter 49).

2. For the purpose of heading 35.05, the term ""dextrins"" means starch degradation products with a reducing sugar content, expressed as dextrose on the dry substance, not exceeding 10%.

Such products with a reducing sugar content exceeding 10% fall in heading 17.02.



",,"1. Milk protein substances with a milk protein content of 85% or more by weight, calculated on the dry matter, are classified in tariff item No. 3504.00.11 or 3504.00.12. Milk protein substances with a milk protein content of less than 85% by weight, calculated on the dry matter, are classified in Chapter 4 (subheading 0404.90).","(NB This note does not form part of the Customs Tariff legislation.)

1. For the statistical purposes of classification Nos. 3506.91.00.10 to 3506.91.00.90, adhesives based on copolymers shall be classified according to the principle for the classification of copolymers outlined in the Explanatory Notes to Chapter 39.",6
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,"1. This Chapter does not cover separate chemically defined compounds other than those described in Note 2 (a) or (b) below.

2. The expression ""articles of combustible materials"" in heading 36.06 applies only to:

(a) Metaldehyde, hexamethylenetetramine and similar substances, put up in forms (for example, tablets, sticks or similar forms) for use as fuels; fuels with a basis of alcohol, and similar prepared fuels, in solid or semi-solid form;
(b) Liquid or liquefied-gas fuels in containers of a kind used for filling or refilling cigarette or similar lighters and of a capacity not exceeding 300 cm³; and
(c) Resin torches, firelighters and the like.",,,,6
37,Photographic or cinematographic goods,"1. This Chapter does not cover waste or scrap.

2. In this Chapter the word ""photographic"" relates to the process by which visible images are formed, directly or indirectly, by the action of light or other forms of radiation on photosensitive surfaces.  ",,,,6
38,Miscellaneous chemical products,"1. This Chapter does not cover:

(a) Separate chemically defined elements or compounds with the exception of the following:
(1) Artificial graphite (heading 38.01);
(2) Insecticides, rodenticides, fungicides, herbicides, anti-sprouting products and plant-growth regulators, disinfectants and similar products, put up as described in heading 38.08;
(3) Products put up as charges for fire-extinguishers or put up in fire-extinguishing grenades (heading 38.13);
(4) Certified reference materials specified in Note 2 below;
(5) Products specified in Note 3 (a) or 3 (c) below;
(b) Mixtures of chemicals with foodstuffs or other substances with nutritive value, of a kind used in the preparation of human foodstuffs (generally heading 21.06);
(c) Slag, ash and residues (including sludges, other than sewage sludge), containing metals, arsenic or their mixtures and meeting the requirements of Note 3 (a) or 3 (b) to Chapter 26 (heading 26.20);
(d) Medicaments (heading 30.03 or 30.04); or
(e) Spent catalysts of a kind used for the extraction of base metals or for the manufacture of chemical compounds of base metals (heading 26.20), spent catalysts of a kind used principally for the recovery of precious metal (heading 71.12) or catalysts consisting of metals or metal alloys in the form of, for example, finely divided powder or woven gauze (Section XIV or XV).

2. (A) For the purpose of heading 38.22, the expression ""certified reference materials"" means reference materials which are accompanied by a certificate which indicates the values of the certified properties, the methods used to determine these values and the degree of certainty associated with each value and which are suitable for analytical, calibrating or referencing purposes.

(B) With the exception of the products of Chapter 28 or 29, for the classification of certified reference materials, heading 38.22 shall take precedence over any other heading in the Nomenclature.

3. Heading 38.24 includes the following goods which are not to be classified in any other heading of the Nomenclature:

(a) Cultured crystals (other than optical elements) weighing not less than 2.5 g each, of magnesium oxide or of the halides of the alkali or alkaline-earth metals;
(b) Fusel oil; Dippel's oil;
(c) Ink removers put up in packings for retail sale;
(d) Stencil correctors, other correcting fluids and correction tapes (other than those of heading 96.12), put up in packings for retail sale; and
(e) Ceramic firing testers, fusible (for example, Seger cones).

4. Throughout the Nomenclature, ""municipal waste"" means waste of a kind collected from households, hotels, restaurants, hospitals, shops, offices, etc., road and pavement sweepings, as well as construction and demolition waste. Municipal waste generally contains a large variety of materials such as plastics, rubber, wood, paper, textiles, glass, metals, food materials, broken furniture and other damaged or discarded articles. The term ""municipal waste"", however, does not cover:

(a) Individual materials or articles segregated from the waste, such as wastes of plastics, rubber, wood, paper, textiles, glass or metals and spent batteries which fall in their appropriate headings of the Nomenclature;
(b) Industrial waste;
(c) Waste pharmaceuticals, as defined in Note 4 (k) to Chapter 30; or
(d) Clinical waste, as defined in Note 6 (a) below.

5. For the purposes of heading 38.25, ""sewage sludge"" means sludge arising from urban effluent treatment plant and includes pre-treatment waste, scourings and unstabilised sludge. Stabilised sludge when suitable for use as fertiliser is excluded (Chapter 31).

6. For the purposes of heading 38.25, the expression ""other wastes"" applies to:

(a) Clinical waste, that is, contaminated waste arising from medical research, diagnosis, treatment or other medical, surgical, dental or veterinary procedures, which often contain pathogens and pharmaceutical substances and require special disposal procedures (for example, soiled dressings, used gloves and used syringes);
(b) Waste organic solvents;
(c) Wastes of metal pickling liquors, hydraulic fluids, brake fluids and anti-freezing fluids; and
(d) Other wastes from chemical or allied industries.
The expression ""other wastes"" does not, however, cover wastes which contain mainly petroleum oils or oils obtained from bituminous minerals (heading 27.10).

7. For the purposes of heading 38.26, the term ""biodiesel"" means mono-alkyl esters of fatty acids of a kind used as fuel, derived from animal or vegetable fats and oils whether or not used.
","1. Subheadings 3808.52 and 3808.59 cover only goods of heading 38.08, containing one or more of the following substances : alachlor (ISO); aldicarb (ISO); aldrin (ISO); azinphos-methyl (ISO); binapacryl (ISO); camphechlor (ISO) (toxaphene); captafol (ISO); chlordane (ISO); chlordimeform (ISO); chlorobenzilate (ISO); DDT (ISO) (clofenotane (INN), 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane); dieldrin (ISO, INN); 4,6-dinitro-o-cresol (DNOC (ISO)) or its salts; dinoseb (ISO), its salts or its esters; endosulfan (ISO); ethylene dibromide (ISO) (1,2-dibromoethane); ethylene dichloride (ISO) (1,2-dichloroethane); fluoroacetamide (ISO); heptachlor (ISO); hexachlorobenzene (ISO); 1,2,3,4,5,6-hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN); mercury compounds; methamidophos (ISO); monocrotophos (ISO); oxirane (ethylene oxide); parathion (ISO); parathion-methyl (ISO) (methyl-parathion); penta- and octabromodiphenyl ethers; pentachlorophenol (ISO), its salts or its esters; perfluorooctane sulphonic acid and its salts; perfluorooctane sulphonamides; perfluorooctane sulphonyl fluoride; phosphamidon (ISO); 2,4,5-T (ISO) (2,4,5-trichlorophenoxyacetic acid), its salts or its esters; tributyltin compounds.

Subheading 3808.59 also covers dustable powder formulations containing a mixture of benomyl (ISO), carbofuran (ISO) and thiram (ISO).

2. Subheadings 3808.61 to 3808.69 cover only goods of heading 38.08, containing alpha-cypermethrin (ISO), bendiocarb (ISO), bifenthrin (ISO), chlorfenapyr (ISO), cyfluthrin (ISO), deltamethrin (INN, ISO), etofenprox (INN), fenitrothion (ISO), lambda-cyhalothrin (ISO), malathion (ISO), pirimiphos-methyl (ISO) or propoxur (ISO).

3. Subheadings 3824.81 to 3824.88 cover only mixtures and preparations containing one or more of the following substances : oxirane (ethylene oxide), polybrominated biphenyls (PBBs), polychlorinated biphenyls (PCBs), polychlorinated terphenyls (PCTs), tris(2,3-dibromopropyl) phosphate, aldrin (ISO), camphechlor (ISO) (toxaphene), chlordane (ISO), chlordecone (ISO), DDT (ISO) (clofenotane (INN), 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane), dieldrin (ISO, INN), endosulfan (ISO), endrin (ISO), heptachlor (ISO), mirex (ISO), 1,2,3,4,5,6-hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN), pentachlorobenzene (ISO), hexachlorobenzene (ISO), perfluorooctane sulphonic acid, its salts, perfluorooctane sulphonamides, perfluorooctane sulphonyl fluoride or tetra-, penta-, hexa-, hepta- or octabromodiphenyl ethers.

4. For the purposes of subheadings 3825.41 and 3825.49, ""waste organic solvents"" are wastes containing mainly organic solvents, not fit for further use as presented as primary products, whether or not intended for recovery of the solvents.","1. For the purpose of subheading 3824.90 of this Chapter, the following terms have the meanings hereby assigned to them:

 (a) ""Glues or adhesives"" goods described in heading 35.06;
 (b) ""Optical fibres or optical fibre bundles or cables"" goods described in subheading 9001.10;
 (c) ""Typewriter or similar ribbons"" goods described in subheading 9612.10;
 (d) ""Polymers in primary forms or profile shapes or sheets of plastics"" goods described in subheadings 3901.10 to 3917.39 or in subheadings 3918.10 to 3921.90.",,6
39,"Plastics and articles thereof
1. Primary forms
2. Waste, parings and scrap; semi-manufactures; articles","1. Throughout the Nomenclature the expression ""plastics"" means those materials of headings 39.01 to 39.14 which are or have been capable, either at the moment of polymerisation or at some subsequent stage, of being formed under external influence (usually heat and pressure, if necessary with a solvent or plasticiser) by moulding, casting, extruding, rolling or other process into shapes which are retained on the removal of the external influence.

Throughout the Nomenclature any reference to ""plastics"" also includes vulcanised fibre. The expression, however, does not apply to materials regarded as textile materials of Section XI.

2. This Chapter does not cover:

(a) Lubricating preparations of heading 27.10 or 34.03;
(b) Waxes of heading 27.12 or 34.04;
(c) Separate chemically defined organic compounds (Chapter 29);
(d) Heparin or its salts (heading 30.01);
(e) Solutions (other than collodions) consisting of any of the products specified in headings 39.01 to 39.13 in volatile organic solvents when the weight of the solvent exceeds 50% of the weight of the solution (heading 32.08); stamping foils of heading 32.12;
(f) Organic surface-active agents or preparations of heading 34.02;
(g) Run gums or ester gums (heading 38.06);
(h) Prepared additives for mineral oils (including gasoline) or for other liquids used for the same purposes as mineral oils (heading 38.11);
(ij) Prepared hydraulic fluids based on polyglycols, silicones or other polymers of Chapter 39 (heading 38.19);
(k) Diagnostic or laboratory reagents on a backing of plastics (heading 38.22);
(l) Synthetic rubber, as defined for the purpose of Chapter 40, or articles thereof;
(m) Saddlery or harness (heading 42.01) or trunks, suitcases, handbags or other containers of heading 42.02;
(n) Plaits, wickerwork or other articles of Chapter 46;
(o) Wall coverings of heading 48.14;
(p) Goods of Section XI (textiles and textile articles);
(q) Articles of Section XII (for example, footwear, headgear, umbrellas, sun umbrellas, walking-sticks, whips, riding-crops or parts thereof);
(r) Imitation jewellery of heading 71.17;
(s) Articles of Section XVI (machines and mechanical or electrical appliances);
(t) Parts of aircraft or vehicles of Section XVII;
(u) Articles of Chapter 90 (for example, optical elements, spectacle frames, drawing instruments);
(v) Articles of Chapter 91 (for example, clock or watch cases);
(w) Articles of Chapter 92 (for example, musical instruments or parts thereof);
(x) Articles of Chapter 94 (for example, furniture, lamps and lighting fittings, illuminated signs, prefabricated buildings);
(y) Articles of Chapter 95 (for example, toys, games, sports requisites); or
(z) Articles of Chapter 96 (for example, brushes, buttons, slide fasteners, combs, mouthpieces or stems for smoking pipes, cigarette-holders or the like, parts of vacuum flasks or the like, pens, propelling pencils, and monopods, bipods, tripods and similar articles).

 3. Headings 39.01 to 39.11 apply only to goods of a kind produced by chemical synthesis, falling in the following categories:

(a) Liquid synthetic polyolefins of which less than 60% by volume distils at 300°C, after conversion to 1,013 millibars when a reduced-pressure distillation method is used (headings 39.01 and 39.02);
(b) Resins, not highly polymerised, of the coumarone-indene type (heading 39.11);
(c) Other synthetic polymers with an average of at least 5 monomer units;
(d) Silicones (heading 39.10);
(e) Resols (heading 39.09) and other prepolymers.

4. The expression ""copolymers"" covers all polymers in which no single monomer unit contributes 95% or more by weight to the total polymer content.

For the purpose of this Chapter, except where the context otherwise requires, copolymers (including co-polycondensates, co-polyaddition products, block copolymers and graft copolymers) and polymer blends are to be classified in the heading covering polymers of that comonomer unit which predominates by weight over every other single comonomer unit. For the purposes of this Note, constituent comonomer units of polymers falling in the same heading shall be taken together.

If no single comonomer unit predominates, copolymers, or polymer blends, as the case may be, are to be classified in the heading which occurs last in numerical order among those which equally merit consideration.

5. Chemically modified polymers, that is those in which only appendages to the main polymer chain have been changed by chemical reaction, are to be classified in the heading appropriate to the unmodified polymer. This provision does not apply to graft copolymers.

6. In headings 39.01 to 39.14, the expression ""primary forms"" applies only to the following forms:

(a) Liquids and pastes, including dispersions (emulsions and suspensions) and solutions;
(b) Blocks of irregular shape, lumps, powders (including moulding powders), granules, flakes and similar bulk forms.

7. Heading 39.15 does not apply to waste, parings and scrap of a single thermoplastic material, transformed into primary forms (headings 39.01 to 39.14).

8. For the purpose of heading 39.17, the expression ""tubes, pipes and hoses"" means hollow products, whether semi-manufactures or finished products, of a kind generally used for conveying, conducting or distributing gases or liquids (for example, ribbed garden hose, perforated tubes). This expression also includes sausage casings and other lay-flat tubing. However, except for the last-mentioned, those having an internal cross-section other than round, oval, rectangular (in which the length does not exceed 1.5 times the width) or in the shape of a regular polygon are not to be regarded as tubes, pipes and hoses but as profile shapes.

9. For the purpose of heading 39.18, the expression ""wall or ceiling coverings of plastics"" applies to products in rolls, of a width not less than 45 cm, suitable for wall or ceiling decoration, consisting of plastics fixed permanently on a backing of any material other than paper, the layer of plastics (on the face side) being grained, embossed, coloured, design-printed or otherwise decorated.

10. In headings 39.20 and 39.21, the expression ""plates, sheets, film, foil and strip"" applies only to plates, sheets, film, foil and strip (other than those of Chapter 54) and to blocks of regular geometric shape, whether or not printed or otherwise surface-worked, uncut or cut into rectangles (including squares) but not further worked (even if when so cut they become articles ready for use).

11. Heading 39.25 applies only to the following articles, not being products covered by any of the earlier headings of sub-Chapter II:

(a) Reservoirs, tanks (including septic tanks), vats and similar containers, of a capacity exceeding 300 litres;
(b) Structural elements used, for example, in floors, walls or partitions, ceilings or roofs;
(c) Gutters and fittings therefor;
(d) Doors, windows and their frames and thresholds for doors;
(e) Balconies, balustrades, fencing, gates and similar barriers;
(f) Shutters, blinds (including Venetian blinds) and similar articles and parts and fittings thereof;
(g) Large-scale shelving for assembly and permanent installation, for example, in shops, workshops, warehouses;
(h) Ornamental architectural features, for example, flutings, cupolas, dovecotes; and
(ij) Fittings and mountings intended for permanent installation in or on doors, windows, staircases, walls or other parts of buildings, for example, knobs, handles, hooks, brackets, towel rails, switch-plates and other protective plates.



","1. Within any one heading of this Chapter, polymers (including copolymers) and chemically modified polymers are to be classified according to the following provisions:

(a) Where there is a subheading named ""Other"" in the same series:
(1) The designation in a subheading of a polymer by the prefix ""poly"" (for example, polyethylene and polyamide-6,6) means that the constituent monomer unit or monomer units of the named polymer taken together must contribute 95% or more by weight of the total polymer content.
(2) The copolymers named in subheadings 3901.30, 3901.40, 3903.20, 3903.30 and 3904.30 are to be classified in those subheadings, provided that the comonomer units of the named copolymers contribute 95% or more by weight of the total polymer content.
(3) Chemically modified polymers are to be classified in the subheading named ""Other"", provided that the chemically modified polymers are not more specifically covered by another subheading.
(4) Polymers not meeting (1), (2) or (3) above, are to be classified in the subheading, among the remaining subheadings in the series, covering polymers of that monomer unit which predominates by weight over every other single comonomer unit. For this purpose, constituent monomer units of polymers falling in the same subheading shall be taken together. Only the constituent comonomer units of the polymers in the series of subheadings under consideration are to be compared.
(b) Where there is no subheading named ""Other"" in the same series:
(1) Polymers are to be classified in the subheading covering polymers of that monomer unit which predominates by weight over every other single comonomer unit. For this purpose, constituent monomer units of polymers falling in the same subheading shall be taken together. Only the constituent comonomer units of the polymers in the series under consideration are to be compared.
(2) Chemically modified polymers are to be classified in the subheading appropriate to the unmodified polymer.
Polymer blends are to be classified in the same subheading as polymers of the same monomer units in the same proportions.

2. For the purposes of subheading 3920.43, the term ""plasticizers"" includes secondary plasticizers.","1. Notes 4 and 5 of this Chapter apply, mutatis mutandis, to all of the tariff items of this Chapter, other than those where the seventh and eighth digits are ""00"".

2. (a) For the purpose of classification within any one subheading of this Chapter, the expression ""composition"" means only those polymers, copolymers, polymer blends and chemically modified polymers containing non-polymeric substances such as:

(i) initiators, activators and catalysts, to assist in the action or use of the polymeric substances in some intended process;
(ii) colourants; or
(iii) fillers, reinforcing agents, solvents, fire retardants, plasticizers and similar additives, present in amounts generally more than 1% by weight.
(b) The presence of any or combinations of the following, without the presence of other non-polymeric substances specified in paragraph (a) above, shall not render a material a composition:

(i) manufacturing impurities, 1% or less, by weight;
(ii) manufacturing impurities, more than 1% weight, provided the impurities do not contribute beneficially to the subsequent processing or performance of the polymeric material;
 (iii) stabilizers such as antioxidants, process aids and similar special-purpose additives, present in small amounts, generally less than 1% weight;
(iv) anti-caking agents;
(v) water; or
(vi) in aqueous dispersions or solutions, the emulsifiers, stabilizers and other agents used to maintain the dispersion or solution form.
(c) For the purpose of classification within any subheading of this Chapter, ""moulding compositions"" includes partially formulated moulding compositions.","(NB These notes do not form part of the Customs Tariff legislation.)

1. Notes 4 and 5 of this Chapter apply, mutatis mutandis, to the classification numbers within any one tariff item of this Chapter.

2. For statistical purposes, classification No. 3926.90.99.30 applies only to the following articles: pacifiers; ice bags; douche bags; enema bags and fittings therefor; invalid and similar nursing cushions; pessaries; sheath contraceptives (prophylactics); bulbs for syringes.",7
