tariff,description,uom,mfn,gt,aut,nzt,ccct,ldct,gpt,ust,mt,must,ciat,ct,crt,it,nt,slt,pt,colt,jt,pat,hnt,krt,ceut,uat,cptpt
2933.71.00.10,For use in the manufacture of polycaprolactam,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2933.71.00.90,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2933.72.00.00,Clobazam (INN) and methyprylon (INN),KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.79.00.00,Other lactams,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.9,Other:,,,,,,,,,,,,,,,,,,,,,,,,,,
2933.91.00.00,"Alprazolam (INN), camazepam (INN), chlordiazepoxide (INN), clonazepam (INN), clorazepate, delorazepam (INN), diazepam (INN), estazolam (INN), ethyl loflazepate (INN), fludiazepam (INN), flunitrazepam (INN), flurazepam (INN), halazepam (INN), lorazepam (INN), lormetazepam (INN), mazindol (INN), medazepam (INN), midazolam (INN), nimetazepam (INN), nitrazepam (INN), nordazepam (INN), oxazepam (INN), pinazepam (INN), prazepam (INN), pyrovalerone (INN), temazepam (INN), tetrazepam (INN) and triazolam (INN); salts thereof",KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.92.00.00,Azinphos-methyl (ISO),KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.99.00,Other,,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.99.00.10,"Amino-acids, for use in the manufacture of mixtures of amino-acids or of mixtures of amino-acids and protein hydrolysates (whether or not containing added minerals, vitamins, fats or carbohydrates), specially compounded for persons afflicted with amino acid disorders; Chemical antioxidants, hardeners, inhibitors, restrainers, sensitizers and stabilizers, for use in the manufacture of photographic emulsions; For use in the manufacture of animal or poultry feeds, glues or adhesives, optical fibres or optical fibre bundles or cables, typewriter or similar ribbons, polymers in primary forms or profile shapes or sheets of plastics; Having a benzenoid structure, for use as a starting material in the manufacture of synthetic organic dyes or pigment dyestuffs; L-Tryptophan, for use in the manufacture of pharmaceutical products",KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2922.49.00,Other,,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2922.49.00.1,Aromatic:,,,,,,,,,,,,,,,,,,,,,,,,,,
2922.49.00.11,"m-Aminobenzoic acid; p-Aminobenzoic acid; 3,5-Diaminobenzoic acid; 2-Ethylamino-5-sulfobenzoic acid; 3-(N-ethyl-anilino) propionic acid methyl ester; Methyl anthranilate; L-phenylalanine",KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2922.49.00.19,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2922.49.00.20,Edetic acid and its derivatives,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2922.49.00.30,Glycine and its derivatives,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2922.49.00.40,Sodium nitrilotriacetate,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2922.49.00.90,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2922.50.00,"Amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function",,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2922.50.00.20,L-threonine,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2922.50.00.90,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
29.23,"Quaternary ammonium salts and hydroxides; lecithins and other phosphoaminolipids, whether or not chemically defined.",,,,,,,,,,,,,,,,,,,,,,,,,,
2923.10.00.00,Choline and its salts,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2923.20.00.00,Lecithins and other phosphoaminolipids,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2923.30.00.00,Tetraethylammonium perfluorooctane sulphonate,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2923.40.00.00,Didecyldimethylammonium perfluorooctane sulphonate,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2931.33.00.00,Diethyl ethylphosphonate,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2931.34.00.00,Sodium 3-(trihydroxysilyl)propyl methylphosphonate,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2931.35.00.00,"2,4,6-Tripropyl-1,3,5,2,4,6-trioxatriphosphinane 2,4,6-trioxide",KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2931.36.00.00,"(5-Ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl)methyl methyl methylphosphonate",KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2931.37.00.00,"Bis[(5-ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl)methyl] methylphosphonate",KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2931.38.00.00,Salt of methylphosphonic acid and (aminoiminomethyl)urea (1:1),KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2931.39.00.00,Other,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2931.90.00,Other,,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2931.90.00.10,Triethylaluminum,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2931.90.00.20,N-(Phosphonomethyl)glycine and its salts,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2931.90.00.30,Organo-silicon compounds,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2931.90.00.90,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
29.32,Heterocyclic compounds with oxygen hetero-atom(s) only.,,,,,,,,,,,,,,,,,,,,,,,,,,
2932.1,Compounds containing an unfused furan ring (whether or not hydrogenated) in the structure:,,,,,,,,,,,,,,,,,,,,,,,,,,
2932.99.00.00,Other,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
29.33,Heterocyclic compounds with nitrogen hetero-atom(s) only.,,,,,,,,,,,,,,,,,,,,,,,,,,
2933.1,Compounds containing an unfused pyrazole ring (whether or not hydrogenated) in the structure:,,,,,,,,,,,,,,,,,,,,,,,,,,
2933.11.00.00,Phenazone (antipyrin) and its derivatives,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.19.00.00,Other,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.2,Compounds containing an unfused imidazole ring (whether or not hydrogenated) in the structure:,,,,,,,,,,,,,,,,,,,,,,,,,,
2933.21.00.00,Hydantoin and its derivatives,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.29.00.00,Other,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.3,Compounds containing an unfused pyridine ring (whether or not hydrogenated) in the structure:,,,,,,,,,,,,,,,,,,,,,,,,,,
2933.31.00.00,Pyridine and its salts,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.32.00.00,Piperidine and its salts,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.33.00.00,"Alfentanil (INN), anileridine (INN), bezitramide (INN), bromazepam (INN), difenoxin (INN), diphenoxylate (INN), dipipanone (INN), fentanyl (INN), ketobemidone (INN), methylphenidate (INN), pentazocine (INN), pethidine (INN), pethidine (INN) intermediate A, phencyclidine (INN) (PCP), phenoperidine (INN), pipradrol (INN), piritramide (INN), propiram (INN) and trimeperidine (INN); salts thereof",KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.39.00,Other,,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.39.00.40,Containing a pyridine ring as the only hetero-atom ring in the structure,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2933.39.00.50,Containing a pyridine ring and other rings with nitrogen hetero-atoms in the structure,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2933.99.00.20,Compounds containing an unfused five-membered hetero-atom ring in the structure,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2933.99.00.30,Compounds having a tricyclic ring system,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2933.99.00.90,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
29.34,"Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds.",,,,,,,,,,,,,,,,,,,,,,,,,,
2934.10.00.00,Compounds containing an unfused thiazole ring (whether or not hydrogenated) in the structure,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2934.20.00.00,"Compounds containing in the structure a benzothiazole ring-system (whether or not hydrogenated), not further fused",KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2934.30.00.00,"Compounds containing in the structure a phenothiazine ring-system (whether or not hydrogenated), not further fused",KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2934.9,Other:,,,,,,,,,,,,,,,,,,,,,,,,,,
2934.91.00.00,"Aminorex (INN), brotizolam (INN), clotiazepam (INN), cloxazolam (INN), dextromoramide (INN), haloxazolam (INN), ketazolam (INN), mesocarb (INN), oxazolam (INN), pemoline (INN), phendimetrazine (INN), phenmetrazine (INN) and sufentanil (INN); salts thereof",KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2934.99.00,Other,,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2934.99.00.10,"Nucleic acids, nucleosides, nucleotides, and their salts, excluding synthetic nucleotide sequences (oligonudeotides) and their salts",KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2934.99.00.90,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
29.35,Sulphonamides.,,,,,,,,,,,,,,,,,,,,,,,,,,
2935.10.00.00,N-Methylperfluorooctane sulphonamide,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2935.20.00.00,N-Ethylperfluorooctane sulphonamide,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2936.27.00.00,Vitamin C and its derivatives,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2936.28.00.00,Vitamin E and its derivatives,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2936.29.00,Other vitamins and their derivatives,,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2936.29.00.60,Nicotinic acid (niacin) and its derivatives,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2936.29.00.90,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2936.90.00.00,"Other, including natural concentrates",KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
29.37,"Hormones, prostaglandins, thromboxanes and leukotrienes, natural or reproduced by synthesis; derivatives and structural analogues thereof, including chain modified polypeptides, used primarily as hormones.",,,,,,,,,,,,,,,,,,,,,,,,,,
2937.1,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues:",,,,,,,,,,,,,,,,,,,,,,,,,,
2937.11.00.00,"Somatotropin, its derivatives and structural analogues",KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2937.12.00.00,Insulin and its salts,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2937.19.00.00,Other,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2937.2,"Steroidal hormones, their derivatives and structural analogues:",,,,,,,,,,,,,,,,,,,,,,,,,,
2937.21.00.00,"Cortisone, hydrocortisone, prednisone (dehydrocortisone) and prednisolone (dehydrohydrocortisone)",KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2937.22.00,Halogenated derivatives of corticosteroidal hormones,,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2937.22.00.10,Betamethasone,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2941.90.00,Other,,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2941.90.00.20,"Rifampin (rifampicin), its salts and derivatives",KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2941.90.00.90,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2942.00.00.00,Other organic compounds.,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
30.01,"Glands and other organs for organo-therapeutic uses, dried, whether or not powdered; extracts of glands or other organs or of their secretions for organo-therapeutic uses; heparin and its salts; other human or animal substances prepared for therapeutic or prophylactic uses, not elsewhere specified or included.",,,,,,,,,,,,,,,,,,,,,,,,,,
3001.20.00.00,Extracts of glands or other organs or of their secretions,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
3001.90.00,Other,,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
3001.90.00.10,Heparin and its salts,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
3001.90.00.20,"Bone, organs and other human or animal tissue, living or preserved, suitable for permanent grafting or implantation",KGM,,,,,,,,,,,,,,,,,,,,,,,,,
3001.90.00.90,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
30.02,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.",,,,,,,,,,,,,,,,,,,,,,,,,,
3002.1,"Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes:",,,,,,,,,,,,,,,,,,,,,,,,,,
3002.11.00.00,Malaria diagnostic test kits,NMB,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
3002.12.00,Antisera and other blood fractions,,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
3002.12.00.1,Human antisera and other human blood fractions:,,,,,,,,,,,,,,,,,,,,,,,,,,
3002.12.00.11,For diagnostic use,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
3002.12.00.12,"Other, blood plasma",KGM,,,,,,,,,,,,,,,,,,,,,,,,,
3002.90.00,Other,,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
3002.90.00.10,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",KGM,,,,,,,,,,,,,,,,,,,,,,,,,
3002.90.00.30,"Dried blood, of animal origin, whether or not soluble",-,,,,,,,,,,,,,,,,,,,,,,,,,
3002.90.00.40,Whole human blood,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
3002.90.00.50,Micro-organisms cultures,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
3002.90.00.90,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
30.03,"Medicaments (excluding goods of heading 30.02, 30.05 or 30.06) consisting of two or more constituents which have been mixed together for therapeutic or prophylactic uses, not put up in measured doses or in forms or packings for retail sale.",,,,,,,,,,,,,,,,,,,,,,,,,,
3003.10.00.00,"Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
3003.20.00.00,"Other, containing antibiotics",KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
3003.3,"Other, containing hormones or other products of heading 29.37:",,,,,,,,,,,,,,,,,,,,,,,,,,
3003.31.00.00,Containing insulin,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
3003.39.00.00,Other,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
3003.4,"Other, containing alkaloids or derivatives thereof:",,,,,,,,,,,,,,,,,,,,,,,,,,
3003.41.00.00,Containing ephedrine or its salts,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
3003.42.00.00,Containing pseudoephedrine (INN) or its salts,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
3204.17.00.12,Red,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
3204.17.00.19,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
3204.17.00.20,Preparations,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
3204.19.00,"Other, including mixtures of colouring matter of two or more of the subheadings 3204.11 to 3204.19",,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
3204.19.00.20,Solvent dyes and preparations based thereon,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
3204.19.00.40,"Food, drug or cosmetic dyes and preparations based thereon",KGM,,,,,,,,,,,,,,,,,,,,,,,,,
3204.19.00.90,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
3204.20.00.00,Synthetic organic products of a kind used as fluorescent brightening agents,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
3204.90.00.00,Other,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
3205.00.00.00,Colour lakes; preparations as specified in Note 3 to this Chapter based on colour lakes.,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
32.06,"Other colouring matter; preparations as specified in Note 3 to this Chapter, other than those of heading 32.03, 32.04 or 32.05; inorganic products of a kind used as luminophores, whether or not chemically defined.",,,,,,,,,,,,,,,,,,,,,,,,,,
3206.1,Pigments and preparations based on titanium dioxide:,,,,,,,,,,,,,,,,,,,,,,,,,,
3206.11,Containing 80% or more by weight of titanium dioxide calculated on the dry matter,,,,,,,,,,,,,,,,,,,,,,,,,,
3206.11.10.00,For use in Canadian manufactures,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
3206.11.90,Other,,6 %,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
3206.11.90.10,Pigments,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
3206.11.90.20,Dispersions,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2932.11.00.00,Tetrahydrofuran,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2932.12.00.00,2-Furaldehyde (furfuraldehyde),KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2932.13.00.00,Furfuryl alcohol and tetrahydrofurfuryl alcohol,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2932.14.00.00,Sucralose,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2932.19.00.00,Other,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2932.20.00.00,Lactones,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2932.9,Other:,,,,,,,,,,,,,,,,,,,,,,,,,,
2932.91.00.00,Isosafrole,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2932.92.00.00,"1-(1,3-Benzodioxol-5-yl)propan-2-one",KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2932.93.00.00,Piperonal,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2932.94.00.00,Safrole,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2932.95.00.00,Tetrahydrocannabinols (all isomers),KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.39.00.90,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2933.4,"Compounds containing in the structure a quinoline or isoquinoline ring-system (whether or not hydrogenated), not further fused:",,,,,,,,,,,,,,,,,,,,,,,,,,
2933.41.00.00,Levorphanol (INN) and its salts,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.49.00.00,Other,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.5,Compounds containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure:,,,,,,,,,,,,,,,,,,,,,,,,,,
2933.52.00.00,Malonylurea (barbituric acid) and its salts,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.53.00.00,"Allobarbital (INN), amobarbital (INN), barbital (INN), butalbital (INN), butobarbital, cyclobarbital (INN), methylphenobarbital (INN), pentobarbital (INN), phenobarbital (INN), secbutabarbital (INN), secobarbital (INN) and vinylbital (INN); salts thereof",KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.54.00.00,Other derivatives of malonylurea (barbituric acid); salts thereof,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.55.00.00,"Loprazolam (INN), mecloqualone (INN), methaqualone (INN) and zipeprol (INN); salts thereof",KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.59.00,Other,,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2933.59.00.1,Containing a pyrimidine ring:,,,,,,,,,,,,,,,,,,,,,,,,,,
2933.59.00.11,Acyclovir,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2933.59.00.19,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2933.59.00.20,Containing a piperazine ring,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
2933.6,Compounds containing an unfused triazine ring (whether or not hydrogenated) in the structure:,,,,,,,,,,,,,,,,,,,,,,,,,,
2935.30.00.00,N-Ethyl-N-(2-hydroxyethyl) perfluorooctane sulphonamide,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2935.40.00.00,N-(2-Hydroxyethyl)-N-methylperfluorooctane sulphonamide,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2935.50.00.00,Other perfluorooctane sulphonamides,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2935.90.00.00,Other,KGM,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
